,Rank,Team,Conf,WL,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM
,1,Virginia 1,ACC,29-3,35.66,123.6,87.9,59.3,0.024,10.51,108.4,97.9,-2.82
,2,Gonzaga 1,WCC,30-3,32.79,125.1,92.3,69.8,0.008,3.38,106.2,102.8,1.98
,3,Duke 1,ACC,29-5,31.99,120.1,88.1,72.2,0.018,13.25,110.4,97.2,5.48
,4,Michigan St. 2,B10,28-6,31.36,121.7,90.4,67.4,-0.007,13.57,110.2,96.7,3.15
,5,Michigan 2,B10,28-6,29.44,115.5,86.1,64.4,-0.014,11.65,109.3,97.6,-4.94
,6,North Carolina 1,ACC,27-6,29.17,119.9,90.7,74.3,0.024,13.68,110.8,97.1,5.77
,7,Kentucky 2,SEC,27-6,27.41,118.2,90.8,65.8,0.037,11.02,110,99,2.26
,8,Tennessee 2,SEC,29-5,26.98,122.5,95.5,67.7,0.038,10.58,109,98.5,1.36
,9,Texas Tech 3,B12,26-6,26.75,112.7,85.9,66.5,0.004,8.31,107.8,99.5,-5.02
,10,Purdue 3,B10,23-9,26.05,121.1,95,65.6,-0.012,13.04,109.7,96.7,4.33
,11,Virginia Tech 4,ACC,24-8,24.47,118.4,94,63.3,0.002,8.61,108.1,99.5,-6.04
,12,Wisconsin 5,B10,23-10,23.68,110.8,87.1,63.6,-0.026,13.57,110.3,96.8,3.56
,13,Auburn 5,SEC,26-9,23.33,119.6,96.2,67.5,0.003,10.89,109.6,98.7,2.81
,14,Florida St. 4,ACC,27-7,22.56,113,90.4,68.3,0.045,10.71,109.5,98.8,1.1
,15,Houston 3,Amer,31-3,22.42,114.1,91.7,66.1,0.057,3.15,104.8,101.6,-3.81
,16,Iowa St. 6,B12,23-11,21.85,119,97.1,67.6,-0.051,10.36,108.8,98.5,-1.45
,17,Louisville 7,ACC,20-13,20.97,113.4,92.4,67.1,-0.054,13,110.6,97.6,6.05
,18,LSU 3,SEC,26-6,20.97,118.5,97.5,69.9,0.035,9.49,108.6,99.1,3.09
,19,Wofford 7,SC,29-4,20.71,118.4,97.6,65.6,0.06,1.36,105.4,104,8.4
,20,Kansas 4,B12,25-9,20.71,112.7,92,69.9,0.088,13.89,111.4,97.5,10.99
,21,Mississippi St. 5,SEC,23-10,20.68,117.4,96.7,67.4,-0.027,10.46,110,99.6,2.49
,22,Buffalo 6,MAC,31-3,20.34,114.9,94.6,73.8,0.041,2.8,105.2,102.4,1.58
,23,Kansas St. 4,B12,25-8,20.22,108,87.7,63,0.061,10.05,109,99,-0.5
,24,Maryland 6,B10,22-10,19.98,113.8,93.8,65.6,0.001,11.08,109.5,98.4,-4.62
,25,Nevada 7,MWC,29-4,18.92,114,95.1,69.2,0.039,1.38,105.2,103.8,1.99
,26,Villanova 6,BE,25-9,18.77,117,98.2,63.6,0.017,8.22,108.4,100.2,3.63
,27,Marquette 5,BE,24-9,18.42,114.2,95.7,68.6,0.007,7.65,107.5,99.9,0.79
